Treatment,Temperature,CHX,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count
46C_CHX,46C,CHX,BioRep1,3,5,3
46C_CHX,46C,CHX,BioRep1,3,6,0
46C_CHX,46C,CHX,BioRep1,3,7,5
46C_CHX,46C,CHX,BioRep1,3,8,0
46C_CHX,46C,CHX,BioRep1,3,9,1
46C_CHX,46C,CHX,BioRep1,3,10,0
46C_CHX,46C,CHX,BioRep1,3,11,0
46C_CHX,46C,CHX,BioRep1,3,12,0
46C_CHX,46C,CHX,BioRep1,3,13,1
46C_CHX,46C,CHX,BioRep1,3,14,0
46C_CHX,46C,CHX,BioRep1,3,15,0
46C_CHX,46C,CHX,BioRep1,3,16,0
46C_CHX,46C,CHX,BioRep1,3,17,0
46C_CHX,46C,CHX,BioRep1,3,18,0
46C_CHX,46C,CHX,BioRep1,4,1,0
46C_CHX,46C,CHX,BioRep1,4,2,0
46C_CHX,46C,CHX,BioRep1,4,3,1
46C_CHX,46C,CHX,BioRep1,4,4,0
46C_CHX,46C,CHX,BioRep1,4,5,2
46C_CHX,46C,CHX,BioRep1,4,6,0
46C_CHX,46C,CHX,BioRep1,4,7,0
46C_CHX,46C,CHX,BioRep1,4,8,0
46C_CHX,46C,CHX,BioRep1,4,9,0
46C_CHX,46C,CHX,BioRep1,4,10,0
46C_CHX,46C,CHX,BioRep1,4,11,3
46C_CHX,46C,CHX,BioRep1,4,12,3
46C_CHX,46C,CHX,BioRep1,4,13,3
46C_CHX,46C,CHX,BioRep1,4,14,1
46C_CHX,46C,CHX,BioRep1,4,15,0
46C_CHX,46C,CHX,BioRep1,4,16,1
46C_CHX,46C,CHX,BioRep1,4,17,3
46C_CHX,46C,CHX,BioRep1,4,18,1
46C_CHX,46C,CHX,BioRep1,4,19,0
46C_CHX,46C,CHX,BioRep1,4,20,0
46C_CHX,46C,CHX,BioRep1,4,21,0
46C_CHX,46C,CHX,BioRep1,5,1,0
46C_CHX,46C,CHX,BioRep1,5,2,0
